"","Name","Latinname", "Group", "Phyla", "Count","References"

"1",Adelie penguin,,,,NA,NA
"2",Tiger shark,,,,NA,NA
"3",Flesh-footed shearwater,,,,NA,NA
"4",Grey seal,,,,NA,NA
"5",Harbour porpoise,,,,NA,NA
"6",Killer whale,,,,NA,NA
"7",Polar bear,,,,NA,NA
"8",Leopard seal,,,,NA,NA
"9",Antarctic fur seal,,,,NA,NA
"10",Great white shark,,,,NA,NA
"11",Common bottlenose dolphin,,,,NA,NA
"12",Gray whale,,,,NA,NA
"13",California sea lion,,,,NA,NA
"14",Reef shark,,,,NA,NA
"15",Oceanic whitetip shark,,,,NA,NA
"16",Grouper,,,,NA,NA
"17",King penguin,,,,NA,NA
"18",Sperm whales,,,,NA,NA
"19",Amsterdam albatross,,,,NA,NA
"20",Southern giant petrel,,,,NA,NA
"21",Southern fulmar,,,,NA,NA
"22",Brown skua,,,,NA,NA
"23",Dugong,,,,NA,NA
"24",Green turtle,,,,NA,NA
"25",Tuna,,,,NA,NA
"26",Cownose ray,,,,NA,NA
"27",Blacktip shark,,,,NA,NA
